# Benchmark Trace Log — Minimum Latency System
# Iterations recorded: 103
#
# SendTime | RecvTime | Latency
# -----------------------------------------------
2026-06-13T21:20:11.826709-05:00 | 2026-06-13T21:20:11.8274308-05:00 | 721.8µs
2026-06-13T21:20:12.0098537-05:00 | 2026-06-13T21:20:12.0098537-05:00 | 0s
2026-06-13T21:20:12.1967969-05:00 | 2026-06-13T21:20:12.1967969-05:00 | 0s
2026-06-13T21:20:12.406708-05:00 | 2026-06-13T21:20:12.4074001-05:00 | 692.1µs
2026-06-13T21:20:12.6157712-05:00 | 2026-06-13T21:20:12.6164182-05:00 | 647µs
2026-06-13T21:20:12.7976676-05:00 | 2026-06-13T21:20:12.7980835-05:00 | 415.9µs
2026-06-13T21:20:13.0047989-05:00 | 2026-06-13T21:20:13.0055265-05:00 | 727.6µs
2026-06-13T21:20:13.1914165-05:00 | 2026-06-13T21:20:13.1928615-05:00 | 1.445ms
2026-06-13T21:20:13.401029-05:00 | 2026-06-13T21:20:13.401029-05:00 | 0s
2026-06-13T21:20:13.5978388-05:00 | 2026-06-13T21:20:13.5985196-05:00 | 680.8µs
2026-06-13T21:20:13.7908674-05:00 | 2026-06-13T21:20:13.7912603-05:00 | 392.9µs
2026-06-13T21:20:13.9817671-05:00 | 2026-06-13T21:20:13.9817671-05:00 | 0s
2026-06-13T21:20:14.1726459-05:00 | 2026-06-13T21:20:14.1733165-05:00 | 670.6µs
2026-06-13T21:20:14.3558759-05:00 | 2026-06-13T21:20:14.3558759-05:00 | 0s
2026-06-13T21:20:14.5570459-05:00 | 2026-06-13T21:20:14.5570459-05:00 | 0s
2026-06-13T21:20:14.7589069-05:00 | 2026-06-13T21:20:14.7589069-05:00 | 0s
2026-06-13T21:20:14.9646028-05:00 | 2026-06-13T21:20:14.9646028-05:00 | 0s
2026-06-13T21:20:15.1469271-05:00 | 2026-06-13T21:20:15.1474178-05:00 | 490.7µs
2026-06-13T21:20:15.3469937-05:00 | 2026-06-13T21:20:15.347994-05:00 | 1.0003ms
2026-06-13T21:20:15.548184-05:00 | 2026-06-13T21:20:15.548184-05:00 | 0s
2026-06-13T21:20:15.7522326-05:00 | 2026-06-13T21:20:15.7527762-05:00 | 543.6µs
2026-06-13T21:20:15.939919-05:00 | 2026-06-13T21:20:15.9409814-05:00 | 1.0624ms
2026-06-13T21:20:16.1372291-05:00 | 2026-06-13T21:20:16.1377839-05:00 | 554.8µs
2026-06-13T21:20:16.3420554-05:00 | 2026-06-13T21:20:16.3430209-05:00 | 965.5µs
2026-06-13T21:20:16.52775-05:00 | 2026-06-13T21:20:16.5286296-05:00 | 879.6µs
2026-06-13T21:20:16.7237196-05:00 | 2026-06-13T21:20:16.7243455-05:00 | 625.9µs
2026-06-13T21:20:16.9056893-05:00 | 2026-06-13T21:20:16.9061879-05:00 | 498.6µs
2026-06-13T21:20:17.1040327-05:00 | 2026-06-13T21:20:17.1044976-05:00 | 464.9µs
2026-06-13T21:20:17.3050798-05:00 | 2026-06-13T21:20:17.3050798-05:00 | 0s
2026-06-13T21:20:17.4840376-05:00 | 2026-06-13T21:20:17.4847458-05:00 | 708.2µs
2026-06-13T21:20:17.6670985-05:00 | 2026-06-13T21:20:17.6674512-05:00 | 352.7µs
2026-06-13T21:20:17.8398459-05:00 | 2026-06-13T21:20:17.8398459-05:00 | 0s
2026-06-13T21:20:18.0358523-05:00 | 2026-06-13T21:20:18.0366626-05:00 | 810.3µs
2026-06-13T21:20:18.2276203-05:00 | 2026-06-13T21:20:18.2286026-05:00 | 982.3µs
2026-06-13T21:20:18.4246336-05:00 | 2026-06-13T21:20:18.4255771-05:00 | 943.5µs
2026-06-13T21:20:18.6129504-05:00 | 2026-06-13T21:20:18.6129504-05:00 | 0s
2026-06-13T21:20:18.8127731-05:00 | 2026-06-13T21:20:18.8127731-05:00 | 0s
2026-06-13T21:20:19.0029829-05:00 | 2026-06-13T21:20:19.0029829-05:00 | 0s
2026-06-13T21:20:19.1919496-05:00 | 2026-06-13T21:20:19.1926841-05:00 | 734.5µs
2026-06-13T21:20:19.3770897-05:00 | 2026-06-13T21:20:19.3770897-05:00 | 0s
2026-06-13T21:20:19.5509889-05:00 | 2026-06-13T21:20:19.5509889-05:00 | 0s
2026-06-13T21:20:19.7397879-05:00 | 2026-06-13T21:20:19.7400887-05:00 | 300.8µs
2026-06-13T21:20:19.935507-05:00 | 2026-06-13T21:20:19.935856-05:00 | 349µs
2026-06-13T21:20:20.1158441-05:00 | 2026-06-13T21:20:20.1165132-05:00 | 669.1µs
2026-06-13T21:20:20.3036041-05:00 | 2026-06-13T21:20:20.3045405-05:00 | 936.4µs
2026-06-13T21:20:20.4812884-05:00 | 2026-06-13T21:20:20.4821587-05:00 | 870.3µs
2026-06-13T21:20:20.6889674-05:00 | 2026-06-13T21:20:20.6889674-05:00 | 0s
2026-06-13T21:20:20.8757704-05:00 | 2026-06-13T21:20:20.8757704-05:00 | 0s
2026-06-13T21:20:21.0758836-05:00 | 2026-06-13T21:20:21.0758836-05:00 | 0s
2026-06-13T21:20:21.3015319-05:00 | 2026-06-13T21:20:21.3020756-05:00 | 543.7µs
2026-06-13T21:20:21.5055279-05:00 | 2026-06-13T21:20:21.5059703-05:00 | 442.4µs
2026-06-13T21:20:21.6920467-05:00 | 2026-06-13T21:20:21.6925847-05:00 | 538µs
2026-06-13T21:20:21.9016402-05:00 | 2026-06-13T21:20:21.9029719-05:00 | 1.3317ms
2026-06-13T21:20:22.1198831-05:00 | 2026-06-13T21:20:22.1207249-05:00 | 841.8µs
2026-06-13T21:20:22.8213208-05:00 | 2026-06-13T21:20:22.821856-05:00 | 535.2µs
2026-06-13T21:20:24.1855293-05:00 | 2026-06-13T21:20:24.1858745-05:00 | 345.2µs
2026-06-13T21:20:32.3358633-05:00 | 2026-06-13T21:20:32.3367579-05:00 | 894.6µs
2026-06-13T21:20:32.5199132-05:00 | 2026-06-13T21:20:32.521151-05:00 | 1.2378ms
2026-06-13T21:20:32.6956723-05:00 | 2026-06-13T21:20:32.6963465-05:00 | 674.2µs
2026-06-13T21:20:35.6564592-05:00 | 2026-06-13T21:20:35.6574194-05:00 | 960.2µs
2026-06-13T21:20:35.8539731-05:00 | 2026-06-13T21:20:35.8543683-05:00 | 395.2µs
2026-06-13T21:20:36.0459762-05:00 | 2026-06-13T21:20:36.0459762-05:00 | 0s
2026-06-13T21:20:36.2315087-05:00 | 2026-06-13T21:20:36.2330174-05:00 | 1.5087ms
2026-06-13T21:20:36.4279632-05:00 | 2026-06-13T21:20:36.4279632-05:00 | 0s
2026-06-13T21:20:36.6097372-05:00 | 2026-06-13T21:20:36.6105442-05:00 | 807µs
2026-06-13T21:20:36.8012888-05:00 | 2026-06-13T21:20:36.8018886-05:00 | 599.8µs
2026-06-13T21:20:37.0064935-05:00 | 2026-06-13T21:20:37.0064935-05:00 | 0s
# -----------------------------------------------
# Summary Statistics
#   Count : 103
#   Min   : 0s
#   Max   : 1.5087ms
#   Avg   : 478.341µs
#   p50   : 535.2µs
#   p95   : 1.0624ms
#   p99   : 1.445ms
